Date, Open, High, Low, Close, Volume
5/13/2011,44.06,44.1001,42.98,43.15,32878379
5/16/2011,42.97,43.48,42.72,42.88,34907301
5/17/2011,42.68,44.02,42.65,43.81,36333559
5/18/2011,43.72,44.24,43.41,44.08,24382930
5/19/2011,44.32,44.35,43.75,44,19539520
5/20/2011,43.83,44.09,43.09,43.13,29951529
5/23/2011,42.4,42.9,42.3,42.55,32316789
5/24/2011,42.77,42.92,41.69,42.34,39341320
5/25/2011,42.11,42.75,42.1,42.27,26510051
5/26/2011,42.12,42.59,42.1,42.45,21660730
5/27/2011,42.7,43.15,42.54,42.79,24748711
5/31/2011,43.24,43.38,42.77,43.24,28746221
6/1/2011,42.87,42.99,41.73,41.76,38634793
6/2/2011,41.93,42.2,40.83,41.61,45969422
6/3/2011,41.09,42.25,41.015,41.57,31837490
6/6/2011,41.1,41.24,40.37,40.53,40895848
6/7/2011,40.92,41.31,40.65,40.72,36342391
6/8/2011,40.58,41.07,40.2,40.39,38895180
6/9/2011,40.59,41.24,40.54,40.98,30084311
6/10/2011,40.59,41.5,40.1,41.05,48547059
6/13/2011,41.29,41.82,40.72,41.67,31768311
6/14/2011,42.13,42.44,41.48,41.605,32110150
6/15/2011,41.02,41.4,40.25,40.68,37337312
6/16/2011,40.63,40.71,39.7,40.36,50321141
6/17/2011,40.85,41.06,40.54,40.8,32023980
6/20/2011,40.5,40.81,40.12,40.48,21568820
6/21/2011,40.68,41.23,40.25,40.91,34244078
6/22/2011,40.67,41.53,40.48,40.69,27317061
6/23/2011,40.12,40.25,39.62,40.07,48316520
6/24/2011,40.05,40.18,39.44,39.49,36143031
6/27/2011,39.4,40.11,39.33,39.88,30639641
6/28/2011,40.07,40.07,39.24,39.54,41558660
6/29/2011,40.04,40.56,39.92,40.45,44783473
6/30/2011,40.72,41.07,40.37,40.94,28002029
7/1/2011,40.81,41.72,40.77,41.58,32136740
7/5/2011,41.51,41.51,40.97,41.03,23811211
7/6/2011,40.59,40.65,40.18,40.56,23868330
7/7/2011,41.19,41.79,41.1,41.32,28554301
7/8/2011,40.7,40.97,40.56,40.74,20682971
7/11/2011,40.19,40.215,39.29,39.43,38327922
7/12/2011,39.24,40.12,39.24,39.39,33808207
7/13/2011,39.67,40.37,39.41,39.62,34020566
7/14/2011,41.18,41.24,40.29,40.35,65336262
7/15/2011,40.61,40.75,39.5,39.98,46553301
7/18/2011,39.79,40,38.93,39.83,47604246
7/19/2011,39.92,40.49,39.71,40.39,34844488
7/20/2011,40.69,41.355,40.62,40.96,31250811
7/21/2011,41.57,42.55,41.23,42.29,45554059
7/22/2011,42.27,42.32,41.76,42.19,19986051
7/25/2011,41.52,41.91,41.29,41.69,22531000
7/26/2011,41.5,41.79,41.29,41.44,24354930
7/27/2011,41.2,41.4,40.59,40.67,32364600
7/28/2011,40.69,41.24,40.62,40.68,23370789
7/29/2011,40.24,40.75,39.9,40.45,37795992
8/1/2011,41.16,41.37,39.96,40.44,34042406
8/2/2011,40.1,40.38,39.84,39.84,42118930
8/3/2011,39.76,40.02,39.345,39.9,41110031
8/4/2011,39.31,39.59,37.82,37.92,59938090
8/5/2011,38.3,38.75,36.72,37.6,85512273
8/8/2011,36.23,37.72,33.69,34.06,107650305
8/9/2011,35.38,36.5901,33.69,36.4,78985633
8/10/2011,35.52,35.85,33.9846,34.37,83975617
8/11/2011,34.63,37.3,34.63,36.69,69583438
8/12/2011,37.13,37.85,35.58,35.91,44082500
8/15/2011,36.53,37.14,36.39,36.88,34830102
8/16/2011,36.27,36.57,35.77,36.03,42272559
8/17/2011,36.46,37.26,36.32,36.57,30131311
8/18/2011,35.27,35.47,34.5,35.19,57139168
8/19/2011,34.76,35.5,34.26,34.35,52962312
8/22/2011,35.12,35.18,33.35,33.41,50971320
8/23/2011,33.29,34.8,32.31,34.78,55809441
8/24/2011,34.82,36.01,34.68,35.83,41963840
8/25/2011,37.79,38.57,35.42,35.72,55387551
8/26/2011,35.28,36.48,34.82,36.21,35115672
8/29/2011,36.82,37.64,36.47,37.64,27945760
8/30/2011,37.4,37.72,36.75,37.06,28826270
8/31/2011,37.42,38.03,37.215,37.56,30051400
9/1/2011,37.62,37.82,36.29,36.3,36865262
9/2/2011,35.06,35.25,34.51,34.63,41677230
9/6/2011,33.11,33.5,32.78,33.44,57081168
9/7/2011,34.1,34.98,33.87,34.82,36145887
9/8/2011,34.44,34.91,33.44,33.51,44815207
9/9/2011,33.08,33.2,31.93,32.08,67195570
9/12/2011,31.35,32.42,31.21,32.42,53381754
9/13/2011,32.81,33.41,32.17,32.49,50142207
9/14/2011,32.73,33.19,31.86,32.8,44446738
9/15/2011,33.37,33.82,33.13,33.81,35848793
9/16/2011,34.05,34.27,33.02,33.43,52687594
9/19/2011,32.69,32.89,32.13,32.49,33160250
9/20/2011,32.77,32.8,32.24,32.25,34089367
9/21/2011,32.23,32.45,30.26,30.34,57429559
9/22/2011,29.35,29.63,28.53,29.27,86290438
9/23/2011,28.96,29.8,28.861,29.59,51731262
9/26/2011,30.06,31.81,29.96,31.65,58696020
9/27/2011,32.62,33.13,31.25,31.57,58242840
9/28/2011,31.62,32,30.42,30.47,38725832
9/29/2011,31.58,32.11,30.44,31.39,51015762
9/30/2011,30.74,30.95,30.11,30.12,42436953
10/3/2011,30.03,30.7,28.64,28.65,51002688
10/4/2011,28.25,30.43,27.85,30.26,69815352
10/5/2011,30.23,31.17,29.4,30.84,51117113
10/6/2011,30.71,32.46,30.42,32.38,53216609
10/7/2011,32.58,32.61,30.65,30.7,49326168
10/10/2011,31.6,32.32,31.58,32.3,37324738
10/11/2011,31.98,32.68,31.41,32.3,38169191
10/12/2011,32.76,33.87,32.69,33.2,55462461
10/13/2011,32.45,32.49,30.92,31.6,78838172
10/14/2011,31.87,32.32,31.4,31.89,51905070
10/17/2011,31.64,32.09,30.97,31.04,40869711
10/18/2011,31.36,33.42,31.14,32.87,64392312
10/19/2011,32.77,34.01,32.03,32.25,50121953
10/20/2011,32.32,33.19,31.67,33.13,41662527
10/21/2011,33.48,34.04,33.01,33.42,48445289
10/24/2011,33.61,34.69,33.57,34.57,45697160
10/25/2011,34.18,34.2499,33.36,33.49,38683527
10/26/2011,34.11,34.41,33.5,34.18,36360840
10/27/2011,36.56,37.54,35.7,37.02,76482953
10/28/2011,36.61,36.98,36.19,36.69,39893754
10/31/2011,35.93,36,34.73,34.76,46438680
11/1/2011,32.47,33.64,31.84,32.71,74056273
11/2/2011,33.71,33.74,33.06,33.64,34342391
11/3/2011,34.12,34.52,32.84,34.38,40087754
11/4/2011,33.99,34.06,33.45,33.97,30867230
11/7/2011,34.03,34.34,33.71,34.24,25935529
11/8/2011,34.53,35.18,34.02,35.02,30194990
11/9/2011,33.84,33.985,32.38,32.54,53000039
11/10/2011,32.92,33.23,32.28,32.74,30431631
11/11/2011,33.28,33.85,33.02,33.28,29989580
11/14/2011,32.95,32.98,32.22,32.55,27596221
11/15/2011,32.09,33.11,32.08,32.7,31265980
11/16/2011,32.34,32.488,31.4,31.47,40761699
11/17/2011,31.4,31.5,30.34,30.49,55130020
11/18/2011,30.67,30.845,30.33,30.62,39033898
11/21/2011,30.02,30.19,29.6,29.91,39666398
11/22/2011,29.9,30.1,29.38,29.41,36466168
11/23/2011,29.11,29.15,28.33,28.38,44474352
11/25/2011,28.28,29.17,28.28,28.48,21423180
11/28/2011,29.71,30.07,28.82,29.16,45285391
11/29/2011,28.98,29.13,28.48,28.56,45104648
11/30/2011,30.15,31,29.8,30.97,61412527
12/1/2011,30.86,30.97,30.03,30.46,33189691
12/2/2011,30.88,33.27,30.81,32.33,90519609
12/5/2011,33.64,34.1,33.22,33.51,52216059
12/6/2011,33.26,33.58,32.68,33.23,38788219
12/7/2011,32.82,34.19,32.72,34,44722793
12/8/2011,33.55,33.7,32.08,32.22,47788871
12/9/2011,32.36,33.31,32.36,33.18,39106922
12/12/2011,32.55,32.6,31.76,32.04,35986441
12/13/2011,32.37,32.63,30.87,31.29,49484809
12/14/2011,30.88,31.94,30.83,31.51,41295648
12/15/2011,32.1,32.28,31.57,31.76,33457250
12/16/2011,32.16,32.6,31.8091,31.89,52598289
12/19/2011,31.87,31.9,30.42,30.7,47388000
12/20/2011,31.4,32.44,31.24,32.21,49092898
12/21/2011,32,32.41,31.9,32.32,30898990
12/22/2011,32.69,33.55,32.5401,33.45,35544898
12/23/2011,33.62,33.7,33.13,33.57,21962670
12/27/2011,33.22,33.69,33.03,33.03,16897090
12/28/2011,32.99,33.09,32.5738,32.65,19248510
12/29/2011,32.71,33.52,32.71,33.42,19793020
12/30/2011,33.11,33.42,33.06,33.25,18199609
1/3/2012,34.06,35.19,34.01,34.98,44108273
1/4/2012,34.44,35.15,34.33,34.95,36576191
1/5/2012,34.71,35.92,34.405,35.68,38383809
1/6/2012,35.69,35.77,35.14,35.36,33162980
1/9/2012,35.44,35.68,34.99,35.3,23006529
1/10/2012,36.07,36.35,35.76,36.05,35982879
1/11/2012,35.8,36.74,35.66,36.66,29853150
1/12/2012,36.82,37.05,36.17,36.85,39420941
1/13/2012,35.26,35.92,35.13,35.92,61577059
1/17/2012,34.85,35.68,34.5,34.91,55119031
1/18/2012,34.54,36.68,34.53,36.54,55504941
1/19/2012,36.84,37.15,36.71,36.93,37001980
1/20/2012,36.78,37.4,36.62,37.36,34716500
1/23/2012,37.31,37.94,37.27,37.66,27500779
1/24/2012,37.18,37.8887,36.8,37.66,25406131
1/25/2012,37.36,37.82,37.12,37.6,29863010
1/26/2012,37.88,38.1,37.25,37.49,33291238
1/27/2012,37.23,37.66,37.15,37.21,27674801
1/30/2012,36.66,37.17,36.36,37.01,24432070
1/31/2012,37.53,37.545,36.93,37.3,29658090
2/1/2012,37.89,38.03,37.5,37.6,41957762
2/2/2012,37.69,38.16,37.42,37.55,26786881
2/3/2012,38.27,38.5,38.05,38.28,41081320
2/6/2012,38.06,38.32,37.805,38.14,23108330
