Date, Open, High, Low, Close, Volume
5/13/2011,25.28,25.32,24.95,25.03,66819289
5/16/2011,24.96,25.07,24.5,24.57,91402406
5/17/2011,24.395,24.7,24.27,24.52,82894461
5/18/2011,24.53,24.74,24.25,24.69,53931031
5/19/2011,24.85,24.88,24.5,24.715,37783594
5/20/2011,24.72,24.87,24.44,24.49,45451461
5/23/2011,24.21,24.25,24.03,24.17,52703434
5/24/2011,24.2,24.29,24.04,24.15,47692980
5/25/2011,24.17,24.31,24.16,24.19,34903113
5/26/2011,24.35,25.03,24.32,24.67,78016547
5/27/2011,24.68,24.9,24.65,24.76,50254320
5/31/2011,24.96,25.06,24.7,25.01,60196199
6/1/2011,24.99,25.1,24.37,24.43,74036469
6/2/2011,24.49,24.65,24.18,24.22,51487738
6/3/2011,24.05,24.14,23.84,23.905,60697660
6/6/2011,23.89,24.25,23.77,24.01,54778672
6/7/2011,24.09,24.17,23.9,24.06,41112520
6/8/2011,23.9,24.02,23.86,23.94,42206809
6/9/2011,24.01,24.04,23.82,23.96,42882262
6/10/2011,24.02,24.02,23.69,23.705,49327102
6/13/2011,23.79,24.19,23.7,24.04,47574070
6/14/2011,24.3,24.45,24.19,24.22,42902699
6/15/2011,24,24.01,23.67,23.74,49410129
6/16/2011,23.75,24.1,23.65,23.995,57190391
6/17/2011,24.22,24.3,23.98,24.26,83352883
6/20/2011,24.17,24.66,24.16,24.47,54344047
6/21/2011,24.52,24.86,24.4,24.76,49712102
6/22/2011,24.6,24.81,24.59,24.65,44290809
6/23/2011,24.44,24.65,24.2,24.63,59472059
6/24/2011,24.51,24.54,24.19,24.3,101387203
6/27/2011,24.23,25.46,24.23,25.2,92044109
6/28/2011,25.3,25.92,25.16,25.8,81032016
6/29/2011,25.71,25.71,25.36,25.62,66052078
6/30/2011,25.74,26,25.66,26,52536289
7/1/2011,25.93,26.17,25.84,26.02,52914520
7/5/2011,26.1,26.15,25.9,26.03,37803059
7/6/2011,25.97,26.37,25.96,26.33,48748887
7/7/2011,26.49,26.88,26.36,26.77,51950941
7/8/2011,26.54,26.98,26.51,26.92,58332434
7/11/2011,26.62,26.8,26.49,26.63,44000719
7/12/2011,26.55,26.79,26.34,26.54,47320992
7/13/2011,26.6,26.96,26.51,26.63,40869340
7/14/2011,26.62,27.01,26.36,26.47,46385930
7/15/2011,26.47,26.9295,26.47,26.78,49134398
7/18/2011,26.63,26.9,26.26,26.59,44506711
7/19/2011,26.81,27.64,26.78,27.54,86730602
7/20/2011,27.28,27.35,26.98,27.06,49795352
7/21/2011,27.04,27.31,26.65,27.095,81737344
7/22/2011,26.86,27.55,26.68,27.53,76380516
7/25/2011,27.26,28.09,27.19,27.91,108486602
7/26/2011,27.82,28.145,27.78,28.08,74643391
7/27/2011,27.88,27.985,27.2,27.33,71492141
7/28/2011,27.29,28.07,27.21,27.72,83766898
7/29/2011,27.52,27.71,27.26,27.4,104394703
8/1/2011,27.51,27.685,26.75,27.27,61846219
8/2/2011,26.98,27.45,26.76,26.8,63883020
8/3/2011,26.83,27,26.48,26.92,64583238
8/4/2011,26.53,26.87,25.93,25.94,92953766
8/5/2011,25.97,26.1,25.23,25.68,112072492
8/8/2011,25.02,25.6,24.39,24.48,134257109
8/9/2011,24.71,25.62,24.03,25.58,126278898
8/10/2011,24.95,25.09,24.1,24.2,127819695
8/11/2011,24.5,25.38,24.4,25.19,90697211
8/12/2011,25.13,25.335,24.65,25.1,64791781
8/15/2011,25.24,25.58,25.15,25.51,56529391
8/16/2011,25.215,25.59,25.05,25.35,54256719
8/17/2011,25.25,25.7,24.93,25.245,50923680
8/18/2011,24.57,25.09,24.03,24.67,105715508
8/19/2011,24.41,24.62,23.91,24.05,77402320
8/22/2011,24.42,24.49,23.79,23.98,54720969
8/23/2011,24.03,24.75,24.03,24.72,59671020
8/24/2011,24.65,24.93,24.42,24.9,45329609
8/25/2011,25.08,25.16,24.5,24.57,48191922
8/26/2011,24.51,25.34,24.42,25.25,71959203
8/29/2011,25.53,25.86,25.37,25.84,38863141
8/30/2011,25.73,26.43,25.7,26.23,57341367
8/31/2011,26.29,26.71,26.26,26.6,59301719
9/1/2011,26.46,26.86,26.21,26.21,60511551
9/2/2011,25.78,26,25.66,25.8,43897070
9/6/2011,25.2,25.59,25.11,25.51,54931992
9/7/2011,25.69,26,25.57,26,41960922
9/8/2011,26,26.66,25.95,26.22,65818211
9/9/2011,26,26.18,25.5,25.74,64531340
9/12/2011,25.44,25.93,25.27,25.89,55047238
9/13/2011,25.92,26.185,25.81,26.04,48794449
9/14/2011,26.17,26.8,25.89,26.5,66742531
9/15/2011,26.73,27.03,26.31,26.99,67809211
9/16/2011,27.05,27.27,26.83,27.12,89685211
9/19/2011,26.8,27.31,26.6,27.21,52324840
9/20/2011,27.31,27.5,26.93,26.98,49211859
9/21/2011,27.05,27.06,25.97,25.99,72750703
9/22/2011,25.3,25.65,24.6,25.06,96285922
9/23/2011,24.9,25.15,24.69,25.06,64769020
9/26/2011,25.19,25.52,24.73,25.44,51057566
9/27/2011,25.66,25.92,25.45,25.67,55623711
9/28/2011,25.93,26.37,25.51,25.575,60740398
9/29/2011,25.98,26.17,25.09,25.45,63411980
9/30/2011,25.2,25.5,24.88,24.89,54086648
10/3/2011,24.72,25.335,24.52,24.53,64596168
10/4/2011,24.3,25.39,24.26,25.34,83485398
10/5/2011,25.42,26.16,25.16,25.89,94061242
10/6/2011,25.9,26.4,25.7,26.34,55113500
10/7/2011,26.34,26.51,26.2,26.25,52748449
10/10/2011,26.58,26.97,26.47,26.94,41822238
10/11/2011,26.86,27.07,26.72,27,38826793
10/12/2011,27.18,27.31,26.9,26.96,52493449
10/13/2011,26.76,27.2,26.62,27.18,43830078
10/14/2011,27.31,27.5,27.02,27.27,50949441
10/17/2011,27.114,27.42,26.85,26.98,39453238
10/18/2011,26.94,27.4,26.8,27.31,52491969
10/19/2011,27.37,27.47,27.01,27.13,42881648
10/20/2011,27.26,27.34,26.4,27.04,76300094
10/21/2011,27.15,27.19,26.8,27.16,76620531
10/24/2011,27.06,27.4,27.04,27.19,56897793
10/25/2011,27.08,27.23,26.72,26.81,53554551
10/26/2011,27.03,27.06,26.1,26.59,63029832
10/27/2011,27.13,27.4,26.65,27.25,74515617
10/28/2011,27.14,27.19,26.79,26.98,57712078
10/31/2011,26.755,27,26.62,26.63,46798953
11/1/2011,26.19,26.32,25.86,25.99,61186961
11/2/2011,26.1,26.2,25.7,26.01,53536398
11/3/2011,26.24,26.585,25.98,26.53,65837008
11/4/2011,26.38,26.4,26,26.25,36553273
11/7/2011,26.21,26.82,26.13,26.8,42586039
11/8/2011,27.01,27.2,26.685,27.16,47825641
11/9/2011,26.59,26.75,26.06,26.2,62950832
11/10/2011,26.47,26.5,26.12,26.28,32517279
11/11/2011,26.58,27.075,26.57,26.91,37903969
11/14/2011,26.88,27,26.65,26.76,34199152
11/15/2011,26.56,26.94,26.4,26.74,43877078
11/16/2011,26.47,26.51,26.04,26.07,53262738
11/17/2011,26.01,26.04,25.44,25.54,70977508
11/18/2011,25.48,25.5,25.15,25.3,47627160
11/21/2011,25.24,25.25,24.9,25,61882820
11/22/2011,24.89,24.96,24.65,24.79,49204488
11/23/2011,24.61,24.79,24.47,24.47,49105289
11/25/2011,24.38,24.67,24.3,24.3,26164410
11/28/2011,24.94,24.97,24.69,24.87,46771879
11/29/2011,24.82,25.04,24.75,24.84,40920910
11/30/2011,25.37,25.585,25.14,25.58,81353523
12/1/2011,25.56,25.63,25.2,25.28,48545340
12/2/2011,25.59,25.62,25.16,25.22,52295246
12/5/2011,25.78,25.8,25.5,25.7,56818367
12/6/2011,25.81,25.87,25.61,25.66,46175289
12/7/2011,25.67,25.76,25.335,25.6,62669840
12/8/2011,25.48,25.72,25.37,25.4,60522191
12/9/2011,25.52,25.87,25.5,25.7,53790398
12/12/2011,25.41,25.57,25.29,25.51,38945871
12/13/2011,25.75,26.1,25.651,25.76,54581000
12/14/2011,25.72,25.86,25.57,25.59,47927113
12/15/2011,25.72,25.88,25.54,25.56,46217488
12/16/2011,25.67,26.17,25.63,26,101410094
12/19/2011,26.02,26.12,25.46,25.53,52258281
12/20/2011,25.86,26.1,25.81,26.025,60767520
12/21/2011,26.01,26.19,25.44,25.76,64134141
12/22/2011,25.82,25.86,25.475,25.81,35794090
12/23/2011,25.91,26.04,25.73,26.03,23205779
12/27/2011,25.96,26.14,25.93,26.04,21287330
12/28/2011,26.11,26.15,25.76,25.82,29823500
12/29/2011,25.95,26.05,25.86,26.02,22616881
12/30/2011,26,26.12,25.91,25.96,27396330
1/3/2012,26.55,26.96,26.39,26.765,64735391
1/4/2012,26.82,27.47,26.78,27.4,80519398
1/5/2012,27.38,27.728,27.29,27.68,56082207
1/6/2012,27.53,28.19,27.525,28.105,99459469
1/9/2012,28.05,28.1,27.72,27.74,59708273
1/10/2012,27.93,28.15,27.75,27.84,60014328
1/11/2012,27.43,27.98,27.37,27.72,65586477
1/12/2012,27.87,28.02,27.645,28,49375480
1/13/2012,27.93,28.25,27.79,28.25,60204898
1/17/2012,28.4,28.65,28.17,28.255,72395250
1/18/2012,28.31,28.4,27.97,28.23,64860512
1/19/2012,28.16,28.435,28.03,28.12,74053430
1/20/2012,28.82,29.74,28.75,29.71,165902891
1/23/2012,29.55,29.95,29.35,29.73,76081805
1/24/2012,29.47,29.5703,29.18,29.34,51711367
1/25/2012,29.07,29.65,29.07,29.56,59236273
1/26/2012,29.61,29.7,29.4,29.5,49107461
1/27/2012,29.45,29.53,29.17,29.23,44190566
1/30/2012,28.97,29.62,28.83,29.61,51114660
1/31/2012,29.66,29.7,29.23,29.53,50572367
2/1/2012,29.79,30.05,29.76,29.89,67413820
2/2/2012,29.9,30.17,29.71,29.95,52226262
2/3/2012,30.14,30.4,30.09,30.24,41845398
2/6/2012,30.04,30.22,29.97,30.2,28040381
2/7/2012,30.15,30.485,30.05,30.35,39242527
2/8/2012,30.26,30.67,30.22,30.66,49662738
2/9/2012,30.68,30.8,30.48,30.77,50481551
2/10/2012,30.64,30.8,30.36,30.495,44606754
2/13/2012,30.63,30.77,30.43,30.58,33322520
2/14/2012,30.33,30.46,29.85,30.25,59662711
2/15/2012,30.33,30.39,30.03,30.05,43316121
2/16/2012,30.31,31.55,30.3,31.285,94705078
2/17/2012,31.2,31.32,30.95,31.25,70040828
2/21/2012,31.18,31.61,31.15,31.44,50832551
2/22/2012,31.45,31.68,31.18,31.27,49253121
2/23/2012,31.2,31.59,31,31.37,35035609
2/24/2012,31.48,31.5,31.24,31.48,35577832
2/27/2012,31.24,31.5,31.1,31.35,34575391
2/28/2012,31.41,31.93,31.38,31.87,45230566
2/29/2012,31.885,32,31.61,31.74,59326551
3/1/2012,31.93,32.39,31.85,32.29,77348930
3/2/2012,32.31,32.44,32,32.075,47318930
3/5/2012,32.01,32.05,31.62,31.8,45239832
3/6/2012,31.54,31.98,31.49,31.555,51938953
3/7/2012,31.67,31.92,31.53,31.84,34340621
3/8/2012,32.04,32.21,31.9,32.01,36752008
3/9/2012,32.1,32.16,31.92,31.99,34628398
3/12/2012,31.97,32.2,31.82,32.04,34076762
3/13/2012,32.24,32.69,32.15,32.67,48951648
3/14/2012,32.53,32.88,32.49,32.77,41987738
3/15/2012,32.79,32.94,32.58,32.85,49070793
3/16/2012,32.91,32.95,32.5,32.6,65626398
3/19/2012,32.535,32.61,32.15,32.2,44797113
3/20/2012,32.1,32.15,31.74,31.99,41566793
3/21/2012,31.96,32.15,31.82,31.91,37935480
3/22/2012,31.81,32.09,31.79,31.995,31749520
3/23/2012,32.1,32.11,31.72,32.01,35912887
3/26/2012,32.19,32.61,32.155,32.59,36758281
3/27/2012,32.65,32.7,32.4,32.52,36274887
