Date, Open, High, Low, Close, Volume
5/13/2011,142.39,142.52,139.25,141.46,14261470
5/16/2011,140.89,143.39,140.26,140.6,6458927
5/17/2011,140.26,141.95,139.08,140.81,7079352
5/18/2011,140.935,141.82,140.21,140.84,4775217
5/19/2011,141.23,141.3,138.4324,139.34,7334180
5/20/2011,138.18,139.64,134.79,134.99,11291560
5/23/2011,133.64,137.19,133.64,135.84,8407529
5/24/2011,136.27,136.76,135.03,136.34,6605559
5/25/2011,135.67,137.59,135.51,136.24,6529663
5/26/2011,136.2,136.6999,135.34,136.26,5334485
5/27/2011,136.25,138.96,136.23,138.66,5275708
5/31/2011,140.82,142.3,139.88,140.73,7023566
6/1/2011,139.95,140,136.1,136.17,6772506
6/2/2011,136.65,136.73,131.5,134.38,12423520
6/3/2011,132.98,137.17,132.89,135.33,5457937
6/6/2011,134.75,135.22,133.14,133.9,5287937
6/7/2011,134.38,135.76,132.99,132.99,6200364
6/8/2011,132.63,134.89,131.5,131.59,6796246
6/9/2011,131.99,135.1,131.83,133.53,4499096
6/10/2011,133.21,137.25,132.515,135.92,7557273
6/13/2011,136.13,137.97,135.92,137.53,5273694
6/14/2011,138.2,138.95,136.54,137.1,5850046
6/15/2011,136.07,137.59,134.01,134.85,5715291
6/16/2011,134.63,136.89,134.15,136.09,5230680
6/17/2011,137.83,138.79,137.21,137.23,6768521
6/20/2011,136.42,136.73,134.3607,135.14,4021799
6/21/2011,135.5,137.19,134.3,135.96,4213300
6/22/2011,135.59,137.78,134.43,134.52,4228140
6/23/2011,133.1,133.83,131.64,132.36,6707794
6/24/2011,132.81,133.45,130.82,130.91,5775678
6/27/2011,130.75,131.86,129.8,130.71,5832605
6/28/2011,131.34,131.34,128.3,129.26,8059751
6/29/2011,129.73,133.23,129.5,132.53,8170790
6/30/2011,133.05,133.8,131.5,133.09,4992942
7/1/2011,133.43,136.72,133.09,136.65,5103532
7/5/2011,135.9,136.05,133,134.5,4457197
7/6/2011,133.78,134.44,132.82,133.89,3029560
7/7/2011,135.09,136.2,134.72,135.01,3859210
7/8/2011,133.32,134.4,133.17,134.08,4141864
7/11/2011,132.75,133.43,131.07,132.02,4724427
7/12/2011,131.42,132.66,130.1,130.31,4333362
7/13/2011,130.74,131.77,129.7,129.92,4413958
7/14/2011,131.7,132.2,129.7499,129.89,5357862
7/15/2011,131.31,131.51,129.18,130.16,5260131
7/18/2011,129.58,130.16,127.5,129.33,5839559
7/19/2011,125.73,129.93,125.5,128.49,15301320
7/20/2011,128,133.8,127.5805,132.75,8578755
7/21/2011,133.52,135.98,133.25,135.58,7672420
7/22/2011,135.03,136.47,134.44,135.49,4928279
7/25/2011,134.17,137.13,133.5,136.85,5856972
7/26/2011,136.61,139.25,136.02,137.6,5465238
7/27/2011,136.79,137.25,134.44,134.72,5250559
7/28/2011,134.97,138.13,134.65,135.84,4430105
7/29/2011,134.1,136.6,133.13,134.97,5346350
8/1/2011,136.92,137.34,133.75,134.15,5886638
8/2/2011,132.08,134.76,131.18,131.23,7594489
8/3/2011,131.35,133.27,130.71,132.08,6499388
8/4/2011,130.84,131.89,126.21,126.23,8197178
8/5/2011,127.75,129.23,122.35,125.18,11171260
8/8/2011,122.08,125.44,112.11,117.66,17381631
8/9/2011,120.51,123.15,111.6,122.73,15914480
8/10/2011,119.58,119.67,110.04,110.34,18592199
8/11/2011,112.94,119.75,112.25,118.1,11847520
8/12/2011,119.82,120.88,115.29,116.47,9608060
