Date, Open, High, Low, Close, Volume
5/13/2011,171.7,172.15,169.44,169.92,5168995
5/16/2011,169.81,170.64,168.31,168.86,4662973
5/17/2011,167.85,171.41,166.53,170.5,8793885
5/18/2011,170.1,171.19,169.46,170.44,4157195
5/19/2011,170.86,171.4,169.32,170.59,3540005
5/20/2011,170.4,171.15,169.38,170.16,4873602
5/23/2011,168.58,168.69,167.07,168.26,5150032
5/24/2011,168.5,168.67,167.51,167.99,4643753
5/25/2011,167.63,168.4,167.51,167.75,3884049
5/26/2011,167.46,167.5,165.9,167.18,5775929
5/27/2011,167.91,168.47,167,167.5,3277507
5/31/2011,168.44,169.89,167.82,168.93,9130673
6/1/2011,168.9,169.58,166.5,166.56,5134779
6/2/2011,166.44,167.1,165.71,166.09,3854020
6/3/2011,164.3,165.89,164.13,165.05,5230500
6/6/2011,164.76,165.58,164.27,164.75,3619681
6/7/2011,165.11,165.24,163.61,163.69,4189497
6/8/2011,163.27,164.85,163.26,164.34,3850732
6/9/2011,165.01,165.96,164.76,164.84,4299799
6/10/2011,164.57,164.84,162.87,163.18,4686370
6/13/2011,164.44,164.46,162.73,163.17,5099508
6/14/2011,163.87,164.57,163.65,164.12,7050074
6/15/2011,162.75,163.41,161.52,162.33,5225995
6/16/2011,162.06,163.63,161.78,162.67,4861065
6/17/2011,164.24,165.1,163.58,164.44,7153383
6/20/2011,163.7,165.61,163.59,165.02,3956099
6/21/2011,165.2,166.75,164,166.22,5388285
6/22/2011,165.59,166.81,165.1,165.68,3963254
6/23/2011,164.06,166.73,163.8,166.12,5271671
6/24/2011,165.85,165.94,164.57,165.07,4405237
6/27/2011,165.74,168.24,165.21,167.62,4446954
6/28/2011,168.33,170.7,168.01,170.01,4850127
6/29/2011,170.61,170.86,169.82,170.54,3817296
6/30/2011,171.11,172.4468,170.75,171.55,5105362
7/1/2011,171.61,174.65,171.49,174.54,5181660
7/5/2011,173.52,175.4309,173.52,175.43,4586423
7/6/2011,175.19,177.77,175.09,177.71,5887048
7/7/2011,176.78,177.27,176.12,176.48,5907150
7/8/2011,175.49,176.49,175.01,176.49,4400429
7/11/2011,174.9,176.15,174.61,174.99,4766847
7/12/2011,174.93,175.37,173.89,174.05,5036955
7/13/2011,174.9,176.32,174,174.32,4074888
7/14/2011,174.4,176.1,173.84,174.23,4613459
7/15/2011,175.08,175.94,174.07,175.54,5350142
7/18/2011,174.73,176.46,173.58,175.28,8879640
7/19/2011,178.74,185.21,178.65,185.21,13248770
7/20/2011,183.84,184.42,183,183.65,5902862
7/21/2011,183.59,185.5,182.9,184.9,4959316
7/22/2011,184.64,185.63,184.26,185.18,4517396
7/25/2011,183.89,184.96,183.28,183.7,4988243
7/26/2011,182.94,184.05,182.65,182.93,4356291
7/27/2011,182.01,182.91,180.93,181.35,5806806
7/28/2011,181.06,183.27,180.88,181.8,4478779
7/29/2011,180.26,183.43,179.73,181.85,6667438
8/1/2011,182.6,183.69,178.5,180.75,5845944
8/2/2011,179.95,182.29,177.86,178.05,5770372
8/3/2011,177.67,179.23,175.41,178.83,6724029
8/4/2011,176.5,177.92,171.18,171.48,11023190
8/5/2011,172.1,174.22,166.52,172.98,11872200
8/8/2011,168.83,172.61,166,166.22,15805890
8/9/2011,167.46,171.05,162,170.61,12517920
8/10/2011,168.18,169.23,161.85,162.54,13994800
8/11/2011,164.1,168.77,162.94,166.73,9176528
8/12/2011,168.5,169.38,165.83,168.2,5186931
8/15/2011,171.32,174,170.39,172.99,7645358
8/16/2011,172.19,172.19,169,171.24,5585496
8/17/2011,171.57,172.99,169.89,171.48,5130785
8/18/2011,166.32,166.46,160.16,163.83,15083690
8/19/2011,162.17,163.94,157.13,157.54,14072340
8/22/2011,161.35,161.68,157.62,158.98,7253910
8/23/2011,160.65,164.59,159.53,164.32,6924129
8/24/2011,164.13,166.83,163.35,166.76,6427240
8/25/2011,167.52,168.53,164.85,165.58,6759181
8/26/2011,164.85,169.33,163.28,169.14,6438785
8/29/2011,170.58,172.72,170.36,172.62,5294197
8/30/2011,172.06,173.51,170.88,172.51,4478665
8/31/2011,173.29,173.72,170.71,171.91,6074660
9/1/2011,172.71,173.68,170.12,170.33,5463880
9/2/2011,167.69,168.93,166,166.98,4979011
9/6/2011,163.06,165.55,162.2,165.11,5761373
9/7/2011,167.28,167.9,166.16,167.31,6798585
9/8/2011,167,169.58,165.1,165.25,6028321
9/9/2011,164.57,165.19,160.81,161.37,6743810
9/12/2011,160.04,162.44,158.76,162.42,5247581
9/13/2011,163.64,163.92,161.54,163.43,4723740
9/14/2011,164.01,169.66,161.99,167.24,6981043
9/15/2011,168.64,170.16,167.23,170.09,5464433
9/16/2011,171.33,172.99,169.74,172.99,11049060
9/19/2011,169.5,173.87,169.43,173.13,4757407
9/20/2011,173.57,177.43,172.7,174.72,6209893
9/21/2011,175,177.67,172.62,173.02,7043250
9/22/2011,168.33,169.97,166.5,168.62,8195806
9/23/2011,166.99,169.54,165.76,169.34,5586589
9/26/2011,170.96,174.7,169.86,174.51,6745650
9/27/2011,176.82,179.62,176.43,177.71,7640243
9/28/2011,177.97,180.75,177.08,177.55,7732274
9/29/2011,179.69,180.91,175.53,179.17,6944293
9/30/2011,176.01,178.27,174.75,174.87,7851584
10/3/2011,174.36,177.92,173.04,173.29,9043214
10/4/2011,171.54,175.07,168.88,174.74,9175346
10/5/2011,174.57,177.2961,172.68,176.85,5851856
10/6/2011,176.81,181.99,175.66,181.69,7181124
10/7/2011,182.32,183.72,181.64,182.39,6842567
10/10/2011,183,186.63,182.9,186.62,5786341
10/11/2011,184.59,186,184.11,185,5330581
10/12/2011,186.08,188,185.65,186.12,5338149
10/13/2011,184.97,187.5,184.5,186.82,4399267
10/14/2011,188.19,190.53,187.7314,190.53,5368616
10/17/2011,189.71,190.16,185.9,186.59,8790278
10/18/2011,178,179.38,176.25,178.9,15729690
10/19/2011,179.68,179.81,177.01,177.39,6708371
10/20/2011,178.13,179.24,176.17,177.25,7514283
10/21/2011,179.11,181.67,178.75,181.63,8055801
10/24/2011,181.51,183.39,180.62,182.25,5891258
10/25/2011,181.66,182.97,180.01,180.36,5374054
10/26/2011,181.74,182.28,179.03,181.97,5387883
10/27/2011,184.99,187,183.18,185.88,7057876
10/28/2011,185.57,188.07,185.28,187.45,5009820
10/31/2011,185.59,186.91,184.63,184.63,4709968
11/1/2011,181.55,183.26,180.74,181.35,5883336
11/2/2011,184,185.25,183.03,183.92,4136703
11/3/2011,185.13,187.78,184.02,187.3,4953637
11/4/2011,186.27,187.14,184.74,186.38,3237874
11/7/2011,186.22,187.73,184.75,187.32,3531095
11/8/2011,187.48,187.88,185.51,187.25,4331568
11/9/2011,184.2,185.24,181.16,182.24,5495014
11/10/2011,183.58,184.77,181.87,183.35,3881958
11/11/2011,185.27,187.83,185.14,187.38,3665309
11/14/2011,189.17,189.84,186.85,187.35,6047079
11/15/2011,187.49,189.97,185.64,188.75,4585232
11/16/2011,187.82,189.9,186.3,186.62,4619536
11/17/2011,186.81,188.83,183.39,185.73,5840520
11/18/2011,186.71,186.97,184.66,185.24,4441334
11/21/2011,183.37,183.96,180,181.48,5145072
11/22/2011,182.22,182.98,180.29,181.31,4179063
11/23/2011,180.67,181.49,177.52,177.95,4802040
11/25/2011,178.01,179.56,177.06,177.06,2232713
11/28/2011,182.71,182.93,180.67,182.21,4524289
11/29/2011,182.02,183.31,180.84,180.94,3662066
11/30/2011,184.57,188.35,184.21,188,7836882
12/1/2011,187.01,189.99,186.77,189.45,4862618
12/2/2011,189.92,191.33,189.45,189.66,4962414
12/5/2011,191.18,193.61,190.38,190.84,5699392
12/6/2011,190.65,193.53,190.32,192.94,4145053
12/7/2011,191.99,194.9,191.28,194.05,5083228
12/8/2011,192.48,193.8,191.07,191.58,4369089
12/9/2011,192.91,194.87,192.4,194.56,4848770
12/12/2011,193.64,193.9,191.22,192.18,3797497
12/13/2011,193.46,194.3,190.64,191.15,5009540
12/14/2011,189.84,190.28,188,188.72,5058143
12/15/2011,190.48,191.2,186.89,187.48,4475149
12/16/2011,188.01,188.01,181.91,183.57,11849740
12/19/2011,184.51,184.69,182.25,182.89,5039846
12/20/2011,185.5,187.33,184.755,187.24,4742825
12/21/2011,183.22,183.5,179.04,181.47,9284370
12/22/2011,182.71,182.8,181,182.04,5052410
12/23/2011,183.11,184.85,181.89,184.75,3052791
12/27/2011,184.97,185.85,184.39,184.95,2775314
12/28/2011,185.19,185.4,183.34,183.99,2873438
12/29/2011,184.07,186.23,184.01,186.18,2941990
12/30/2011,186.33,186.48,183.85,183.88,3531804
1/3/2012,186.73,188.71,186,186.3,5645999
1/4/2012,185.57,186.33,184.94,185.54,4346651
1/5/2012,184.81,185.03,183.1,184.66,4463267
1/6/2012,184.39,184.48,182.31,182.54,4897057
1/9/2012,182.2,182.27,180.27,181.59,5201266
1/10/2012,183.23,183.72,181.2,181.31,5161696
1/11/2012,180.73,182.81,180.5,182.32,4110952
1/12/2012,181.86,181.91,178.38,180.55,6880962
1/13/2012,179.48,179.61,177.3472,179.16,5279348
1/17/2012,180.36,182,179.32,180,6003399
1/18/2012,179.83,181.6,179.5,181.07,4601271
1/19/2012,181.79,182.3599,180.35,180.52,8575901
1/20/2012,185.77,188.97,184.75,188.52,12850230
1/23/2012,187.91,190.52,187.67,189.98,5751748
1/24/2012,188.63,192.305,188.5241,191.93,5349750
1/25/2012,191.33,192.2399,189.61,191.73,4360603
1/26/2012,191.79,192.79,190.47,190.98,4004615
1/27/2012,190.01,191.77,189.81,190.46,3360521
1/30/2012,189.39,192.73,188.22,192.5,4359045
1/31/2012,193.09,193.1,191,192.6,4827924
2/1/2012,193.21,194.81,192.41,192.62,5089251
2/2/2012,192.72,193.33,191.33,191.53,3907360
2/3/2012,192.93,194.13,192.54,193.64,4521636
2/6/2012,192.48,193.76,192,192.82,3639807
2/7/2012,192.45,194.14,191.97,193.35,3432953
2/8/2012,192.78,193.58,191.73,192.95,3804288
2/9/2012,193.03,194.46,192.55,193.13,3876530
2/10/2012,191.76,192.43,191.28,192.42,3391177
2/13/2012,193.31,193.69,191.74,192.62,2458889
2/14/2012,191.76,192.6,190.831,192.22,3398364
2/15/2012,192.31,193.44,191.26,192.25,4021139
2/16/2012,192.61,193.25,192,193.02,3525728
2/17/2012,193.71,193.86,192.3,193.42,3746679
2/21/2012,193.73,194.24,192.46,193.39,3294073
2/22/2012,193.03,194.74,192.75,193.87,3276029
2/23/2012,193.87,199.23,193.28,197.61,8034535
2/24/2012,198.38,198.56,196.61,197.76,3353242
2/27/2012,196.78,198.71,196.1,197.53,3758585
2/28/2012,197.75,198.96,197.4322,197.98,3167481
2/29/2012,197.86,199.17,196.45,196.73,5120543
3/1/2012,197.23,198.47,196.93,197.53,3560706
3/2/2012,197.1,198.89,197.06,198.81,3727970
3/5/2012,198.36,201.19,198.3,200.66,6938659
3/6/2012,199.14,199.64,196.812,197.26,5215871
3/7/2012,198.09,198.57,197.31,197.77,3346878
3/8/2012,199.24,199.99,198.65,199.81,3145893
3/9/2012,199.98,201.1,199.72,200.62,3178143
3/12/2012,200.93,201.57,200.23,201,3119666
3/13/2012,201.72,203.9,201.6107,203.78,4864835
3/14/2012,203.78,205.15,203.64,204.72,4602609
3/15/2012,204.94,206.18,204.74,206,3621170
3/16/2012,207.03,207.52,206.01,206.01,9638129
3/19/2012,205.71,206.53,204.5,205.72,3763177
